team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
WPG,2023,WPG,WPG,Team Level,other,38,0.57,0.38,0.45,4376.0,56.53,18.69,3.45,9.5,1.88,26.23,19.25,18.04,18.69,18.04,55.0,24.0,18.0,97.0,18.0,5.0,2.0,6.0,1.0,22.0,27.0,37.0,61.0,1.0,2.0,40.0,8.0,10.0,11.0,30.0,22.0,27.0,1.32,2.57,14.8,1.0,2.0,15.0,97.0,79.0,79.0,10.0,1.02,1.62,1.62,18.08,18.08,17.6,70.51,14.16,5.85,13.15,2.64,40.53,19.67,12.27,14.16,12.27,66.0,30.0,62.0,158.0,12.0,10.0,2.0,10.0,0.0,37.0,27.0,54.0,84.0,1.0,2.0,46.0,18.0,9.0,13.0,53.0,16.0,27.0,1.92,2.03,10.21,3.0,0.0,9.0,158.0,96.0,96.0,8.0,1.69,3.17,3.17,12.68,12.68,11.8
WPG,2023,WPG,WPG,Team Level,all,38,0.51,0.5,0.51,137910.0,1196.61,116.32,80.09,287.12,40.56,655.29,487.61,112.11,117.47,113.22,1178.0,489.0,619.0,2286.0,126.0,125.0,20.0,259.0,6.0,552.0,599.0,1052.0,1541.0,130.0,298.0,992.0,658.0,231.0,285.0,1257.0,287.0,123.0,34.95,35.58,45.79,43.0,38.0,45.0,2316.73,1667.0,1688.38,216.0,17.6,24.69,24.73,109.19,110.25,107.73,1164.68,111.32,80.73,283.73,39.27,634.99,454.96,104.62,111.13,104.48,1107.0,498.0,641.0,2246.0,91.0,130.0,18.0,222.0,1.0,559.0,602.0,1016.0,1514.0,140.0,315.0,1139.0,677.0,191.0,324.0,1216.0,251.0,138.0,32.42,31.6,47.3,26.0,25.0,40.0,2219.26,1605.0,1590.04,241.0,18.28,30.15,30.15,99.44,99.25,96.41
WPG,2023,WPG,WPG,Team Level,5on5,38,0.52,0.52,0.52,111452.0,958.43,78.38,60.95,239.84,32.61,525.93,400.29,75.6,79.52,76.71,943.0,395.0,514.0,1852.0,87.0,103.0,18.0,211.0,5.0,441.0,491.0,856.0,1251.0,122.0,282.0,768.0,609.0,189.0,241.0,1042.0,223.0,73.0,28.96,27.87,21.54,42.0,27.0,18.0,1882.73,1338.0,1359.38,184.0,12.61,21.29,21.33,69.65,70.71,69.38,887.6,73.17,57.16,227.24,29.9,478.92,357.62,69.48,72.98,69.33,848.0,376.0,485.0,1709.0,51.0,100.0,10.0,176.0,1.0,419.0,477.0,797.0,1173.0,128.0,293.0,883.0,623.0,151.0,270.0,957.0,188.0,79.0,26.09,23.77,23.3,21.0,17.0,13.0,1682.26,1224.0,1209.04,201.0,11.89,22.06,22.06,63.0,62.81,61.56
WPG,2023,WPG,WPG,Team Level,4on5,38,0.1,0.1,0.13,10404.0,25.57,2.53,1.32,3.88,0.87,8.18,18.22,2.53,2.53,2.53,28.0,7.0,3.0,38.0,2.0,0.0,0.0,5.0,0.0,3.0,25.0,26.0,33.0,2.0,4.0,77.0,32.0,27.0,21.0,26.0,5.0,4.0,0.75,0.78,1.0,0.0,1.0,1.0,38.0,35.0,35.0,21.0,0.3,0.0,0.0,2.83,2.83,2.83,175.47,21.65,16.26,38.68,5.81,105.77,55.82,20.55,21.65,20.55,166.0,78.0,89.0,333.0,26.0,20.0,6.0,32.0,0.0,98.0,68.0,140.0,218.0,7.0,14.0,98.0,7.0,6.0,12.0,176.0,38.0,30.0,3.72,4.69,13.24,1.0,7.0,18.0,333.0,244.0,244.0,4.0,4.34,4.92,4.92,21.08,21.08,20.38
WPG,2023,WPG,WPG,Team Level,5on4,38,0.88,0.87,0.84,11678.0,156.07,16.73,14.37,33.91,5.2,94.94,49.86,15.94,16.73,15.94,152.0,63.0,84.0,299.0,19.0,17.0,0.0,37.0,0.0,86.0,56.0,133.0,196.0,5.0,10.0,107.0,9.0,5.0,12.0,159.0,37.0,19.0,3.92,4.36,8.46,0.0,8.0,11.0,299.0,215.0,215.0,1.0,3.67,1.78,1.78,18.62,18.62,17.92,31.09,2.34,1.46,4.66,0.91,9.77,21.87,2.33,2.34,2.33,27.0,14.0,5.0,46.0,2.0,0.0,0.0,4.0,0.0,5.0,30.0,25.0,39.0,4.0,6.0,112.0,29.0,25.0,29.0,30.0,9.0,2.0,0.68,1.11,0.54,1.0,1.0,0.0,46.0,41.0,41.0,28.0,0.34,0.0,0.0,2.68,2.68,2.67
CHI,2023,CHI,CHI,Team Level,other,39,0.35,0.44,0.42,4975.0,50.51,8.78,3.87,10.48,1.79,27.59,16.5,8.33,8.78,8.33,49.0,20.0,30.0,99.0,10.0,3.0,0.0,6.0,0.0,34.0,16.0,39.0,59.0,1.0,2.0,45.0,17.0,17.0,14.0,41.0,17.0,11.0,1.58,2.06,5.13,2.0,3.0,5.0,99.0,69.0,69.0,7.0,1.11,0.59,0.59,9.3,9.3,8.86,70.57,16.0,4.96,12.88,2.21,37.15,22.8,14.83,16.0,14.83,66.0,30.0,30.0,126.0,12.0,7.0,1.0,15.0,0.0,29.0,33.0,54.0,84.0,1.0,2.0,64.0,11.0,10.0,17.0,50.0,24.0,22.0,2.15,3.1,10.74,0.0,1.0,11.0,126.0,96.0,96.0,8.0,1.41,2.46,2.46,14.95,14.95,14.15
CHI,2023,CHI,CHI,Team Level,all,39,0.41,0.44,0.44,141567.0,1051.72,95.59,70.21,257.74,35.25,567.89,420.31,91.71,95.18,91.3,1026.0,421.0,572.0,2019.0,90.0,105.0,17.0,227.0,4.0,470.0,551.0,936.0,1357.0,150.0,338.0,953.0,744.0,372.0,389.0,1121.0,220.0,106.0,31.26,27.07,37.27,31.0,26.0,33.0,1987.66,1447.0,1430.7,210.0,15.56,22.93,22.93,88.22,87.84,86.14,1327.25,139.03,93.29,311.48,44.13,723.23,522.84,132.33,140.23,133.47,1293.0,541.0,711.0,2545.0,147.0,131.0,21.0,215.0,7.0,651.0,683.0,1146.0,1687.0,147.0,336.0,1166.0,620.0,257.0,335.0,1297.0,383.0,154.0,39.11,47.1,52.82,47.0,56.0,44.0,2593.7,1834.0,1862.16,157.0,20.61,29.9,29.9,129.75,130.88,127.14
CHI,2023,CHI,CHI,Team Level,5on5,39,0.42,0.44,0.44,113048.0,833.51,66.91,52.44,212.23,27.91,448.63,338.89,64.51,66.5,64.1,809.0,338.0,465.0,1612.0,63.0,82.0,14.0,196.0,4.0,356.0,446.0,746.0,1084.0,133.0,298.0,729.0,693.0,303.0,319.0,911.0,168.0,68.0,25.92,21.05,19.94,26.0,21.0,16.0,1580.66,1147.0,1130.7,178.0,10.87,17.48,17.48,60.3,59.92,59.03,1061.64,94.27,71.14,260.75,35.63,580.19,430.01,90.55,95.46,91.69,1029.0,443.0,591.0,2063.0,99.0,107.0,14.0,166.0,6.0,533.0,561.0,930.0,1373.0,125.0,286.0,875.0,588.0,218.0,271.0,1094.0,285.0,93.0,32.55,35.21,26.51,43.0,41.0,15.0,2111.7,1472.0,1500.16,129.0,14.79,22.12,22.12,86.94,88.08,86.44
CHI,2023,CHI,CHI,Team Level,4on5,39,0.11,0.14,0.16,11627.0,33.45,3.17,1.71,4.94,0.97,10.41,22.79,3.16,3.17,3.16,38.0,6.0,4.0,48.0,2.0,0.0,0.0,4.0,0.0,11.0,27.0,36.0,42.0,8.0,22.0,92.0,22.0,37.0,23.0,27.0,11.0,6.0,0.56,1.24,1.38,1.0,0.0,1.0,48.0,44.0,44.0,19.0,0.4,0.0,0.0,3.58,3.58,3.57,162.97,24.99,15.31,33.1,5.24,95.49,48.87,23.28,24.99,23.28,167.0,56.0,80.0,303.0,31.0,17.0,6.0,31.0,1.0,84.0,59.0,136.0,192.0,18.0,42.0,131.0,2.0,5.0,30.0,124.0,66.0,33.0,3.48,7.77,13.73,2.0,13.0,16.0,303.0,223.0,223.0,4.0,3.97,5.31,5.31,23.64,23.64,22.45
CHI,2023,CHI,CHI,Team Level,5on4,39,0.82,0.83,0.81,11917.0,134.25,16.74,12.2,30.09,4.59,81.25,42.13,15.7,16.74,15.7,130.0,57.0,73.0,260.0,15.0,20.0,3.0,21.0,0.0,69.0,62.0,115.0,172.0,8.0,16.0,87.0,12.0,15.0,33.0,142.0,24.0,21.0,3.2,2.72,10.82,2.0,2.0,11.0,260.0,187.0,187.0,6.0,3.17,4.86,4.86,15.05,15.05,14.69,32.07,3.78,1.89,4.75,1.04,10.39,21.15,3.67,3.78,3.67,31.0,12.0,10.0,53.0,5.0,0.0,0.0,3.0,0.0,5.0,30.0,26.0,38.0,3.0,6.0,96.0,19.0,24.0,17.0,29.0,8.0,6.0,0.93,1.02,1.83,2.0,1.0,2.0,53.0,43.0,43.0,16.0,0.43,0.0,0.0,4.21,4.21,4.09
EDM,2023,EDM,EDM,Team Level,other,35,0.6,0.56,0.57,5079.0,78.0,16.52,6.24,13.89,2.69,42.17,23.48,15.56,16.52,15.56,75.0,30.0,25.0,130.0,12.0,9.0,2.0,15.0,0.0,33.0,36.0,63.0,93.0,2.0,4.0,52.0,9.0,20.0,14.0,54.0,27.0,24.0,2.06,3.42,11.04,2.0,3.0,7.0,130.0,105.0,105.0,5.0,1.79,3.3,3.3,15.01,15.01,14.69,57.81,10.82,4.24,10.73,1.99,31.05,20.17,10.04,10.82,10.04,61.0,18.0,25.0,104.0,13.0,3.0,0.0,8.0,1.0,24.0,30.0,48.0,66.0,6.0,10.0,60.0,12.0,8.0,16.0,44.0,19.0,16.0,1.83,2.37,6.62,3.0,2.0,8.0,104.0,79.0,79.0,8.0,1.2,0.79,0.79,11.23,11.23,10.56
EDM,2023,EDM,EDM,Team Level,all,35,0.57,0.55,0.55,127010.0,1244.89,131.89,87.71,290.66,41.77,654.49,481.48,125.98,132.77,126.83,1192.0,496.0,616.0,2304.0,126.0,140.0,15.0,238.0,3.0,600.0,581.0,1066.0,1562.0,145.0,316.0,1082.0,663.0,293.0,361.0,1189.0,342.0,157.0,36.07,42.79,53.03,41.0,48.0,37.0,2330.64,1688.0,1704.25,196.0,19.56,31.79,31.83,119.63,120.52,117.41,1005.53,98.17,67.88,243.3,34.0,540.27,393.38,94.72,98.08,94.64,999.0,378.0,508.0,1885.0,112.0,93.0,17.0,230.0,5.0,442.0,495.0,887.0,1265.0,137.0,296.0,1013.0,744.0,272.0,335.0,994.0,281.0,102.0,28.88,34.5,34.8,34.0,40.0,38.0,1878.75,1377.0,1376.02,188.0,15.11,18.56,18.56,94.72,94.71,92.44
EDM,2023,EDM,EDM,Team Level,5on5,35,0.58,0.56,0.56,101312.0,967.27,90.35,64.72,237.64,32.48,504.15,382.66,86.75,91.23,87.59,918.0,394.0,496.0,1808.0,82.0,114.0,10.0,199.0,2.0,467.0,448.0,836.0,1230.0,123.0,272.0,844.0,624.0,241.0,308.0,947.0,265.0,100.0,28.73,33.35,28.27,31.0,40.0,11.0,1834.64,1312.0,1328.25,174.0,13.49,23.63,23.67,80.18,81.06,79.23,770.72,65.37,49.22,195.0,25.91,408.55,307.97,63.7,65.29,63.63,756.0,296.0,386.0,1438.0,73.0,76.0,14.0,181.0,4.0,329.0,389.0,683.0,979.0,114.0,252.0,755.0,689.0,228.0,272.0,782.0,210.0,60.0,22.59,25.98,16.79,23.0,32.0,18.0,1431.75,1052.0,1051.02,164.0,10.23,14.12,14.14,61.46,61.44,60.68
EDM,2023,EDM,EDM,Team Level,4on5,35,0.14,0.17,0.18,11374.0,36.33,3.3,1.92,5.51,1.16,11.43,24.68,3.26,3.3,3.26,34.0,14.0,14.0,62.0,3.0,1.0,0.0,0.0,0.0,10.0,34.0,31.0,45.0,4.0,8.0,91.0,25.0,22.0,17.0,34.0,10.0,4.0,1.05,1.32,0.92,0.0,1.0,2.0,62.0,48.0,48.0,15.0,0.43,0.15,0.15,3.58,3.58,3.56,155.4,20.03,13.37,33.99,5.4,93.83,50.38,19.06,20.03,19.06,159.0,58.0,94.0,311.0,23.0,13.0,3.0,37.0,0.0,85.0,59.0,136.0,194.0,11.0,22.0,121.0,20.0,10.0,32.0,144.0,51.0,22.0,3.71,6.02,10.29,6.0,6.0,11.0,311.0,217.0,217.0,2.0,3.43,3.42,3.4,20.06,20.06,19.22
EDM,2023,EDM,EDM,Team Level,5on4,35,0.92,0.9,0.88,9245.0,163.29,21.73,14.83,33.61,5.44,96.73,50.66,20.41,21.73,20.41,165.0,58.0,81.0,304.0,29.0,16.0,3.0,24.0,1.0,90.0,63.0,136.0,194.0,16.0,32.0,95.0,5.0,10.0,22.0,154.0,40.0,29.0,4.23,4.7,12.8,8.0,4.0,17.0,304.0,223.0,223.0,2.0,3.85,4.71,4.71,20.86,20.86,19.93,21.6,1.96,1.05,3.58,0.7,6.84,14.87,1.93,1.96,1.93,23.0,6.0,3.0,32.0,3.0,1.0,0.0,4.0,0.0,4.0,17.0,20.0,26.0,6.0,12.0,77.0,23.0,26.0,15.0,24.0,1.0,4.0,0.74,0.13,1.09,2.0,0.0,1.0,32.0,29.0,29.0,14.0,0.25,0.23,0.23,1.98,1.98,1.97
CAR,2023,CAR,CAR,Team Level,other,39,0.47,0.55,0.52,3964.0,49.05,10.8,3.43,9.39,1.7,25.73,15.95,10.19,10.8,10.19,47.0,20.0,40.0,107.0,12.0,3.0,1.0,9.0,0.0,25.0,18.0,35.0,55.0,3.0,4.0,56.0,6.0,12.0,8.0,30.0,20.0,17.0,1.06,2.15,7.59,3.0,1.0,8.0,107.0,67.0,67.0,4.0,1.02,1.1,1.1,10.71,10.71,10.39,45.18,12.03,2.77,8.18,1.46,21.22,17.35,11.51,12.03,11.51,38.0,25.0,25.0,88.0,10.0,3.0,0.0,4.0,0.0,21.0,25.0,28.0,53.0,1.0,2.0,42.0,11.0,11.0,9.0,28.0,17.0,18.0,1.1,1.94,9.0,1.0,3.0,6.0,88.0,63.0,63.0,2.0,0.79,0.78,0.78,12.04,12.04,11.57
